	Bacteria	Bacteria	
	Actinobacteria	Actinobacteria	
	Actinobacteria	Actinobacteria	
	Actinomycetales	Actinomycetales	
	Corynebacteriaceae	Actinomycetaceae	
	Corynebacterium	Mobiluncus	
			
LIU.CIRCHESNREPEATS.N04231CT00.RAV752.H1	9253.0	31.0	
LIU.CIRCHESNREPEATS.N14551M600.RAV751.H5	18976.0	339.0	
LIU.CIRCHESNREPEATS.N06891Y100.RAV752.D5	21.0	44381.0	
