OTUId	L87107IM00	N08354M600	L08239SN00	M04248CT00	N18747SN02	N15954SN00	L19198M600	L13716Y100
JUJ_12414	0	286	206	898	639	87	27	101
JUJ_648	0	1	5	0	0	0	1	0
JUJ_15140	0	0	0	5	0	0	0	0
JUJ_20936	0	12	13	0	0	9	0	0
JUJ_6040	0	0	0	33	1	145	1	1
JUJ_15982	0	0	0	0	0	0	0	0
JUJ_382	77	781	411	132	561	165	156	136
JUJ_12597	16	976	382	208	523	211	9	51
JUJ_16489	0	0	0	0	0	0	0	0
JUJ_15285	0	0	2	2	2	0	2	2
JUJ_2270	0	0	0	6	4	0	0	3
JUJ_16810	0	0	0	0	0	0	0	0
JUJ_5589	0	0	22	2	2	0	56172	3
JUJ_13023	0	182	61	0	0	0	1	11
JUJ_11718	8	1152	412	1	303	258	3	9
JUJ_7741	0	0	0	0	0	0	0	0
JUJ_13335	0	210	35	1	1	0	1	1
JUJ_23411	0	1090	182	33	8	0	0	3
JUJ_11931	1	131	12	6	6	37	1	21
JUJ_6762	0	0	0	0	0	0	0	0
JUJ_13266	0	2	91	17	5	0	16	4
JUJ_5753	0	2	10	0	0	0	1	0
JUJ_7354	0	0	0	0	0	0	0	0
JUJ_479	2	187	16	241	190	2	1	10
JUJ_13024	0	0	6	5	22	0	2	15
JUJ_426	1	1	0	0	2	0	0	0
JUJ_8579	0	0	0	0	0	0	0	0
JUJ_273	3	20	420	69	11	7	3	1
JUJ_12475	1	54	197	5	190	4	0	5
JUJ_15356	0	0	0	3	3	0	4	3
JUJ_11786	22	668	17	49	4416	225	1	78
JUJ_5806	61	14	1100	6	6	25	3	555
JUJ_21737	0	0	8	0	0	0	59	0
JUJ_267	0	106	0	0	1	0	0	2
JUJ_16934	0	0	27	0	0	0	0	0
JUJ_12010	0	26	558	12	3	9	0	57
JUJ_761	2	6	19	5	5	0	0	3
JUJ_5720	0	0	18	4	2	2	16917	11
JUJ_14854	0	0	3	1	0	0	3	0
JUJ_11772	0	0	5	61	2	0	0	0
JUJ_5748	0	8	113	262	0	0	723	10
JUJ_5862	0	10	20	30	4	2	0	41
JUJ_307	0	0	8	0	0	0	21395	0
JUJ_16590	0	281	2	32	67	11	4	2
JUJ_13366	0	0	0	0	0	0	0	1
JUJ_367	9	0	0	4	0	0	0	0
JUJ_15090	0	0	2	35	0	0	0	0
JUJ_18235	0	0	0	0	3	0	0	0
JUJ_13019	0	29	1111	41	24	15	2	47
JUJ_14246	0	0	0	0	0	0	0	0
JUJ_9935	0	79	0	1	0	0	0	0
JUJ_9521	0	0	0	0	0	0	0	0
JUJ_2134	0	0	3	0	1	1	506	4
JUJ_18904	0	171	0	1	0	5	0	1
JUJ_12798	5	0	31	10	66	9	1	0
JUJ_11746	0	0	0	0	0	0	0	0
JUJ_21203	0	0	0	0	0	0	0	0
JUJ_12055	0	378	207	491	170	183	3	37
JUJ_17118	0	0	16	0	0	1	0	0
JUJ_458	0	0	60	0	0	0	0	6
JUJ_15557	0	2	2	0	0	0	0	0
JUJ_5424	0	0	69	2	1	2	3	21
JUJ_15150	0	0	0	0	0	0	0	0
JUJ_18078	0	2	0	15	0	0	0	0
JUJ_5552	0	0	4	1	0	0	1	1
JUJ_504	0	27	7	0	0	0	0	1
JUJ_43	1	4	43	23	4	0	0	0
JUJ_492	109	0	174	0	3	0	3	0
JUJ_5689	0	0	0	0	0	0	0	0
JUJ_18204	0	0	1	3	1	0	2	1
JUJ_12799	0	116	8	34	21	0	0	3
JUJ_811	0	0	0	0	0	0	0	0
JUJ_13208	0	273	41	156	1649	521	9	48
JUJ_18198	0	131	8597	0	0	15	0	2
JUJ_15162	0	0	0	0	0	0	0	0
JUJ_14224	0	0	0	0	0	0	0	0
JUJ_18014	0	0	0	0	0	0	0	0
JUJ_1331	3	25	11	16	13	7	3	0
