OTUId	L87107IM00	N08354M600	L08239SN00	M04248CT00	N18747SN02	N15954SN00	L19198M600	L13716Y100
JUJ_5243	0	0	0	0	0	0	72	0
JUJ_11969	0	0	6	0	0	0	0	1
JUJ_12794	0	0	0	22	0	0	0	0
JUJ_259	0	0	1	0	0	0	0	1
JUJ_9777	0	0	0	0	0	0	0	0
JUJ_11716	0	45	0	0	0	0	0	0
JUJ_12419	0	6	14	0	20	7	0	0
JUJ_12304	0	0	10	0	0	0	0	0
JUJ_2225	0	0	0	0	0	0	0	0
JUJ_18076	0	0	0	6	53	1	0	0
JUJ_6730	0	0	5	0	0	0	0	0
JUJ_18070	0	0	0	0	0	0	0	0
JUJ_5826	0	0	0	0	0	19	0	0
JUJ_16506	0	0	0	0	0	0	0	0
JUJ_18291	0	0	0	0	0	0	1	0
JUJ_17943	0	0	0	0	0	0	0	0
JUJ_3649	0	0	0	117	0	0	0	0
JUJ_12000	1	2	0	0	2	0	0	0
JUJ_12757	0	0	0	0	6	0	0	0
JUJ_591	0	171	5	177	1	0	0	0
JUJ_10753	61	2383	11	1	0	55	0	8
JUJ_19175	0	0	8	0	0	0	20	0
JUJ_17394	0	0	0	0	0	0	0	0
JUJ_1883	0	0	0	0	1	0	1	0
JUJ_18405	0	0	0	0	0	0	0	0
JUJ_6904	0	0	0	0	0	0	0	0
JUJ_5172	0	0	1	0	9	0	0	0
JUJ_6327	0	0	0	0	0	0	0	0
JUJ_13477	0	0	0	1	0	0	0	0
JUJ_1714	0	0	10	0	2	13	0	5
JUJ_15274	0	0	0	0	0	0	0	0
JUJ_15538	0	0	0	0	0	0	0	0
JUJ_2867	0	31	0	13	0	0	0	9
JUJ_793	0	1	0	30	0	0	0	0
JUJ_3210	0	0	0	0	0	0	0	0
JUJ_15221	0	0	0	0	0	0	0	0
JUJ_6328	0	0	0	0	0	0	0	0
JUJ_4395	0	0	0	0	0	0	0	0
JUJ_18007	0	189	2	138	52	1	0	7
JUJ_1806	0	0	0	0	0	0	0	0
JUJ_1803	0	0	0	26	0	0	0	0
JUJ_23304	0	1	11	3	0	0	0	0
JUJ_357	0	0	0	0	0	0	0	0
JUJ_2719	0	0	0	0	0	0	0	0
JUJ_18108	0	0	0	0	0	0	0	0
JUJ_15201	0	0	0	0	0	0	0	0
JUJ_17385	0	0	4	0	0	0	82	0
JUJ_6329	0	0	0	0	0	0	0	0
JUJ_1794	0	123	15	0	0	0	0	5
JUJ_1720	0	123	1	5	1	7	0	28
JUJ_17907	0	0	0	0	0	0	0	0
JUJ_17424	0	0	0	0	0	0	0	0
JUJ_16495	0	0	18	0	0	9	0	0
JUJ_12858	0	0	0	0	0	0	0	0
JUJ_2068	0	0	0	37	0	0	0	0
JUJ_9853	0	0	0	0	0	0	0	0
JUJ_269	0	0	0	1	3	0	1	0
JUJ_11556	0	0	0	0	0	0	0	0
JUJ_18111	0	108	0	0	0	0	0	10
JUJ_1332	1	0	42	59	64	0	0	31
JUJ_16730	0	0	0	0	0	0	0	0
JUJ_4114	0	111	54	0	172	0	2	7
JUJ_1009	0	0	0	0	0	0	2	0
JUJ_1707	0	1	0	0	0	0	0	0
JUJ_1049	56	0	0	12	0	17	5	25
JUJ_17964	0	0	0	0	0	0	0	0
JUJ_10837	0	0	0	0	0	0	0	0
JUJ_28	0	0	0	0	0	0	0	0
JUJ_7649	0	0	0	0	0	0	0	0
JUJ_19680	0	0	0	0	0	0	500	0
JUJ_13887	0	0	0	0	0	0	0	0
JUJ_52	0	0	1	0	0	0	2003	0
JUJ_6325	0	0	0	0	0	0	0	0
JUJ_8006	0	0	0	0	0	0	0	0
JUJ_18023	0	0	1	0	0	0	0	0
JUJ_1735	0	186	0	0	0	0	1	1
JUJ_2576	0	0	0	0	0	0	0	0
JUJ_15145	0	0	22	0	0	4	0	1
JUJ_6071	0	442	44	567	0	0	1	0
JUJ_6559	0	0	0	0	0	0	0	0
JUJ_18088	0	0	0	0	0	0	0	0
JUJ_18068	0	0	0	0	0	0	0	0
JUJ_18547	0	0	1	0	0	2	0	6
JUJ_16558	0	0	9	27	0	0	0	0
JUJ_1728	0	0	0	0	0	0	0	0
JUJ_4344	0	0	0	0	0	4	0	0
JUJ_10807	0	1	0	1	138	0	4	0
JUJ_6870	0	0	0	0	0	0	0	0
JUJ_16680	0	0	0	0	0	0	0	0
JUJ_18882	0	182	104	0	0	0	0	0
JUJ_830	0	0	0	0	0	0	0	0
JUJ_5657	0	0	0	6	0	0	0	3
JUJ_7896	0	0	0	1	0	0	0	1
JUJ_4372	0	0	0	0	0	0	0	0
JUJ_12444	0	75	136	110	43	1	1	12
JUJ_12992	0	0	0	0	0	0	0	0
JUJ_1045	0	0	0	31	0	0	0	0
JUJ_17237	0	0	0	0	0	0	0	0
JUJ_12016	9	0	7	77	106	0	0	9
JUJ_1809	0	0	0	0	0	0	0	77
JUJ_4444	0	0	0	0	1	0	0	0
JUJ_587	0	0	15	0	0	0	0	0
JUJ_1043	0	0	0	10	0	0	0	0
JUJ_13736	0	40	0	0	0	0	0	11
JUJ_4419	0	1	1	0	14	27	0	4
JUJ_7667	0	0	0	0	0	0	0	0
JUJ_18122	0	0	0	24	0	0	0	0
JUJ_6912	0	0	0	0	1	0	0	6
JUJ_775	0	0	1	1785	0	0	1	0
JUJ_22731	0	0	1	0	0	0	4	0
JUJ_7015	0	0	0	0	0	0	0	0
JUJ_13758	0	0	13	0	0	0	0	0
JUJ_12824	0	0	0	0	0	0	0	0
JUJ_14503	0	99	1	0	0	0	0	0
JUJ_12820	0	0	1	0	0	0	0	0
JUJ_4335	0	0	0	0	0	0	0	0
JUJ_1817	0	0	0	0	0	0	0	0
JUJ_20313	0	131	0	0	0	0	0	0
JUJ_1719	0	0	0	0	0	5	0	10
JUJ_407	0	0	0	0	1	0	0	0
JUJ_17622	0	6	0	0	46	0	0	0
JUJ_6799	0	1	0	0	0	0	0	0
JUJ_18046	0	0	13	18	0	5	1	0
JUJ_12595	0	96	106	97	74	6	0	34
JUJ_7240	0	0	0	0	0	0	0	0
JUJ_17980	0	0	0	0	0	0	0	0
JUJ_1584	0	0	0	0	0	0	0	4
JUJ_12534	0	40	50	0	0	17	0	0
JUJ_17452	0	0	0	1	0	0	0	0
JUJ_18267	0	0	0	0	0	0	0	0
JUJ_10800	0	0	0	0	0	1	0	0
JUJ_1724	0	0	0	0	0	0	0	0
JUJ_23552	0	0	0	0	0	0	0	0
JUJ_15695	0	0	0	0	0	0	0	0
JUJ_217	0	0	222	0	0	0	0	5
JUJ_18323	0	0	0	0	0	0	0	0
JUJ_14737	0	0	0	16	0	0	2	0
JUJ_11560	0	0	0	0	0	0	0	10
JUJ_18567	0	0	0	0	0	0	0	0
JUJ_15149	0	0	1	0	0	0	0	0
JUJ_11549	0	119	0	0	0	0	0	0
JUJ_19493	0	2	6	0	0	0	130	0
JUJ_40	0	0	0	0	0	0	1955	0
JUJ_16612	0	0	0	0	0	0	0	0
JUJ_1715	0	3	197	14	1	0	0	0
JUJ_1324	0	0	0	0	0	0	0	0
JUJ_18113	0	0	0	97	0	0	0	13
JUJ_9148	0	0	0	1	0	0	0	0
JUJ_6877	0	0	0	0	0	0	0	0
JUJ_1908	0	6	0	37	0	0	1	4
JUJ_16656	0	0	0	0	0	0	0	0
JUJ_6959	0	0	0	1	0	0	0	0
JUJ_229	0	0	0	1	0	0	0	0
JUJ_9752	0	0	0	0	0	0	0	0
JUJ_10721	0	0	0	0	0	0	0	0
JUJ_14398	0	0	0	0	0	0	0	0
JUJ_12596	0	394	0	0	0	0	0	0
JUJ_1718	0	0	0	0	0	0	0	0
JUJ_1583	0	0	0	0	0	0	0	0
JUJ_18115	0	0	0	12	0	0	0	1
JUJ_8268	0	0	0	0	0	62	0	0
JUJ_2049	0	0	0	0	0	0	0	0
JUJ_17958	0	0	0	0	0	0	0	0
JUJ_13710	0	0	1	2	0	0	0	0
JUJ_11156	0	0	0	0	0	0	0	0
JUJ_17920	0	0	0	0	0	0	0	0
JUJ_6802	0	0	0	0	0	0	0	0
JUJ_9751	0	0	0	0	0	0	0	0
JUJ_12823	0	0	0	17	0	0	0	0
JUJ_11888	1	108	0	20	6	0	3	0
JUJ_6903	0	0	0	0	0	0	0	0
JUJ_14328	0	0	0	0	0	0	0	0
JUJ_23331	0	58	270	14	0	0	0	0
JUJ_1742	0	22	1	0	0	0	0	0
JUJ_11480	0	0	0	0	0	6	0	0
JUJ_7230	0	0	0	0	0	5	0	0
JUJ_9740	0	0	23	0	0	0	0	0
JUJ_20954	0	0	0	0	0	0	0	0
JUJ_15181	0	0	0	0	1	0	0	0
JUJ_18128	0	0	0	0	0	0	0	0
JUJ_18244	0	0	0	43	0	0	0	0
JUJ_6828	0	0	0	0	0	0	0	0
JUJ_12797	0	1	2	0	0	0	0	0
JUJ_16675	0	0	0	0	0	0	0	0
JUJ_14392	0	0	1	0	0	0	0	0
JUJ_1768	0	33	0	0	0	0	0	0
JUJ_8612	0	0	0	0	0	0	0	0
JUJ_14291	0	55	0	59	0	0	1	13
JUJ_4422	0	0	0	0	0	0	0	0
JUJ_1741	0	0	0	0	0	0	0	0
JUJ_11453	0	0	0	0	0	0	0	0
JUJ_7050	0	0	0	0	0	0	0	0
JUJ_18628	0	0	0	20	0	0	0	0
JUJ_13718	0	194	0	0	0	0	0	0
JUJ_1836	0	0	0	0	1	0	0	0
JUJ_699	0	0	0	0	0	0	0	0
JUJ_21006	0	0	66	18	0	33	0	0
JUJ_12205	0	29	27	4	38	1	0	12
JUJ_4417	0	0	0	0	0	0	0	0
JUJ_12815	0	0	2	295	0	0	0	3
JUJ_18101	0	0	0	107	0	0	0	0
JUJ_1757	0	0	0	0	0	0	0	0
JUJ_12841	0	0	0	0	0	0	0	0
JUJ_1999	0	0	0	0	0	0	0	0
JUJ_18181	0	0	0	0	0	0	0	0
JUJ_13272	0	0	0	0	0	0	0	0
JUJ_6186	0	0	0	0	0	1	0	0
JUJ_4338	0	0	0	0	0	0	0	2
JUJ_12843	0	0	0	0	0	0	0	0
JUJ_11023	0	0	0	0	0	0	0	0
JUJ_17403	0	0	0	0	0	0	0	0
JUJ_20399	0	0	0	1	0	0	1	0
JUJ_18415	0	0	0	0	0	0	0	0
JUJ_1712	0	0	19	0	0	0	0	1
JUJ_18208	0	0	0	0	0	0	0	0
JUJ_5674	0	0	0	1	0	0	0	3
JUJ_18645	0	0	0	0	0	0	0	0
JUJ_21532	0	0	0	0	0	0	0	0
JUJ_1802	0	0	0	0	0	0	0	2
JUJ_17616	0	0	0	0	0	0	0	0
JUJ_11250	0	0	0	0	0	0	0	0
JUJ_12717	0	19	0	22	1	53	0	0
JUJ_3312	0	0	4	9	0	0	229	1
JUJ_4362	0	0	0	0	0	0	0	0
JUJ_19558	0	0	37	28	0	24	0	0
JUJ_1893	0	0	0	0	64	0	0	0
JUJ_10791	0	2	0	33	0	0	0	1
JUJ_1885	0	0	0	0	0	0	0	0
JUJ_7286	0	0	0	0	0	0	0	0
JUJ_22525	0	0	5	0	0	0	8	1
JUJ_288	0	0	0	0	1	0	0	0
JUJ_3734	0	14	0	2	1	0	1	0
JUJ_16627	0	0	0	0	0	0	2	0
JUJ_1784	0	0	0	1	0	0	0	0
JUJ_16626	0	0	0	0	0	61	0	1
JUJ_2023	0	5	0	0	0	0	0	0
JUJ_5974	0	0	0	0	0	0	0	0
JUJ_11593	0	0	202	0	0	52	1	1
JUJ_18157	0	0	0	0	0	0	0	0
JUJ_4452	0	0	0	0	0	0	0	0
JUJ_7003	0	0	0	0	0	0	0	0
JUJ_783	0	0	3	11	18	205	0	1
JUJ_2157	0	0	0	0	0	0	0	0
JUJ_17954	0	0	0	0	0	0	0	0
JUJ_305	0	0	0	0	0	0	0	0
JUJ_1798	0	244	5	20	0	0	0	4
JUJ_17434	5	0	92	0	0	0	0	0
JUJ_10752	0	0	0	0	0	0	0	0
JUJ_19340	0	0	0	0	0	0	0	0
JUJ_12793	0	2	8	107	0	5	0	2
JUJ_6861	0	0	0	0	0	1	0	0
JUJ_15152	0	0	0	0	0	0	0	0
JUJ_1816	0	0	0	0	1	0	0	0
JUJ_6553	0	0	0	0	0	0	0	0
JUJ_12808	0	145	0	0	1	0	0	7
JUJ_6790	0	0	1	0	0	0	0	0
JUJ_18011	0	0	1	0	0	0	0	0
JUJ_12879	0	1	2	3	0	0	0	0
JUJ_15292	0	0	21	61	61	0	0	0
JUJ_12381	0	0	0	0	0	0	0	0
JUJ_13771	0	0	0	0	0	0	0	0
JUJ_7024	0	0	0	0	0	0	0	0
JUJ_1751	0	0	0	0	0	0	0	0
JUJ_1738	0	0	0	13	3	0	0	0
JUJ_12834	0	0	0	0	0	0	0	0
JUJ_14376	0	0	87	0	0	0	241	0
JUJ_13864	0	0	0	0	0	0	0	0
JUJ_8174	0	0	0	0	0	0	0	0
JUJ_1852	0	0	0	0	0	0	0	0
JUJ_19157	0	0	0	0	0	0	0	0
JUJ_13590	0	0	14	0	0	0	0	0
JUJ_18114	0	11	0	0	0	0	0	0
JUJ_15987	3	1	0	0	0	0	0	0
JUJ_17898	0	0	0	12	9	0	0	1
JUJ_11702	0	0	0	0	0	0	0	0
JUJ_12807	0	0	0	8	0	0	0	0
JUJ_17115	0	0	0	0	0	0	0	0
JUJ_2227	0	0	0	0	22	0	0	0
JUJ_20047	0	0	38	40	0	0	0	0
JUJ_21192	0	0	10	0	0	0	1	0
JUJ_18270	0	0	0	0	0	0	0	0
JUJ_5663	0	0	1	0	0	0	54	0
JUJ_4450	0	0	0	0	0	0	0	0
JUJ_12795	345	94	0	0	0	0	1	12
JUJ_12619	0	1	0	0	9	0	0	0
JUJ_1434	0	0	0	0	0	0	0	0
JUJ_1711	0	13	5	3	7	3	2	0
JUJ_295	0	2	2	21	0	0	1	0
JUJ_6894	0	0	0	0	0	0	0	0
JUJ_7104	0	0	0	0	0	15	0	0
JUJ_4436	0	0	0	0	0	1	0	0
JUJ_20848	0	0	0	0	0	0	0	0
JUJ_12812	0	0	0	8	0	0	0	0
JUJ_5658	0	0	0	3	0	0	0	0
JUJ_15151	0	0	0	2	0	0	0	0
JUJ_15330	0	0	0	0	2	0	0	0
JUJ_1097	246	0	0	0	0	0	0	0
JUJ_19424	0	0	0	0	0	0	0	0
JUJ_21067	0	0	0	0	0	0	0	0
JUJ_9856	0	0	0	0	0	0	0	0
JUJ_10725	0	0	19	0	0	0	0	4
JUJ_16545	0	0	1	0	0	0	3	0
JUJ_14164	0	0	0	0	0	0	0	0
JUJ_18297	0	0	0	0	0	0	0	0
JUJ_3648	0	0	56	188	1	4	0	0
JUJ_4554	0	0	0	0	0	0	0	0
JUJ_11768	0	0	0	0	6	0	0	0
JUJ_421	0	0	0	0	0	0	0	0
JUJ_2013	0	0	0	0	0	0	0	0
JUJ_17677	0	0	0	44	0	0	0	0
JUJ_18072	0	0	0	0	25	28	0	0
JUJ_7481	0	0	0	0	0	0	0	1
JUJ_569	0	0	0	0	0	0	0	0
JUJ_18054	0	0	0	0	0	0	0	0
JUJ_18329	0	0	0	0	0	0	0	0
JUJ_11720	0	0	8	50	0	0	0	0
JUJ_15444	0	0	0	0	0	0	0	7
JUJ_11618	0	0	0	0	73	0	0	0
JUJ_19987	0	0	0	0	0	0	0	0
JUJ_16536	0	0	0	0	0	0	0	0
JUJ_16501	0	0	0	0	0	0	0	0
JUJ_1330	0	0	0	642	0	0	0	0
JUJ_18192	0	0	0	0	0	0	0	0
JUJ_9753	0	0	0	0	0	0	0	0
JUJ_19042	0	0	0	0	0	0	0	0
JUJ_6942	0	0	1	0	0	0	0	0
JUJ_18010	0	11	0	1	0	39	0	11
JUJ_1921	0	0	0	0	0	0	0	0
JUJ_1737	0	0	0	0	0	0	0	0
JUJ_9269	0	0	0	0	0	0	0	0
JUJ_6843	0	0	0	0	2	0	0	0
JUJ_18259	0	0	0	0	0	0	0	0
JUJ_2187	0	0	0	0	0	0	0	0
JUJ_12877	0	0	0	0	0	0	0	0
JUJ_14445	0	0	0	0	0	0	1	0
JUJ_1438	0	3	0	1	34	0	0	0
JUJ_23558	0	0	0	0	0	0	0	0
JUJ_15361	0	0	0	0	0	0	0	0
JUJ_12027	0	0	7	0	1	0	0	0
JUJ_11913	0	17	5	3	2	0	0	1
JUJ_12241	0	0	0	0	0	5	3	5
JUJ_6840	0	0	0	0	0	0	0	0
JUJ_2384	0	0	0	0	0	0	0	0
JUJ_23313	1	0	28	12	4	0	0	0
JUJ_18429	0	0	0	0	0	0	0	0
JUJ_20932	0	0	0	0	0	0	0	0
JUJ_5274	0	0	0	0	0	0	0	1
JUJ_1880	0	0	0	0	0	0	1	0
JUJ_1831	0	0	0	0	0	0	0	0
JUJ_6072	0	0	0	20	0	0	0	1
JUJ_1981	0	0	0	0	0	0	0	0
JUJ_21011	0	0	0	0	0	0	0	0
JUJ_9778	0	0	0	0	1	0	0	0
JUJ_13735	0	1	0	1	0	0	0	0
JUJ_2020	0	0	0	36	0	0	0	0
JUJ_1771	0	0	0	0	0	0	0	0
JUJ_12353	0	0	0	0	0	0	0	0
JUJ_1731	0	0	0	253	0	0	0	0
JUJ_4377	0	0	0	0	0	0	0	0
JUJ_4407	0	0	0	0	0	0	0	0
JUJ_13931	0	0	17	0	0	0	0	0
JUJ_11683	0	0	0	1	0	0	1	0
JUJ_1753	0	0	0	0	0	0	0	0
JUJ_7365	0	0	0	0	0	0	0	0
JUJ_5213	0	0	0	0	0	2	1	8
JUJ_16544	0	0	1	0	0	0	0	0
JUJ_18343	0	0	0	0	0	0	0	0
JUJ_1956	0	0	0	0	6	0	1	0
JUJ_18720	0	0	0	0	0	0	0	0
JUJ_18692	0	0	0	0	0	0	0	6
JUJ_11554	0	9	0	0	0	0	0	0
JUJ_13099	0	1	4	43	3	0	0	16
JUJ_15142	0	0	0	0	0	0	0	0
JUJ_15190	0	0	0	0	0	0	0	0
JUJ_13798	0	0	0	0	0	0	0	0
JUJ_7054	0	0	0	1	0	0	0	0
JUJ_15263	0	0	0	46	0	0	0	0
JUJ_7226	0	0	0	0	0	0	0	0
JUJ_16570	0	75	0	0	0	0	0	0
JUJ_13779	0	0	0	0	0	0	0	0
JUJ_18562	0	0	0	0	0	0	0	0
JUJ_1328	17	0	0	51	0	53	1	1
JUJ_6174	0	0	0	0	0	0	0	0
JUJ_8054	0	0	0	0	0	0	0	11
JUJ_15109	0	24	5	0	0	0	0	0
JUJ_863	0	0	24	0	1	0	1	0
JUJ_23292	0	0	0	0	0	0	0	0
JUJ_12831	0	0	0	47	0	0	0	0
JUJ_20327	0	35	0	0	1	0	0	0
JUJ_14531	0	0	24	0	0	0	0	0
JUJ_17621	0	0	0	0	0	0	0	0
JUJ_15314	0	3	0	268	0	0	0	0
JUJ_12703	0	0	231	47	8	42	0	6
JUJ_2061	0	36	0	0	0	0	0	0
JUJ_11623	0	17	2	45	7	0	0	6
JUJ_17923	0	0	0	0	0	0	0	0
JUJ_18117	0	0	0	0	0	0	0	0
JUJ_8154	0	0	0	0	0	0	0	0
JUJ_7042	0	0	0	0	0	0	0	0
JUJ_11621	0	0	0	0	2	0	0	0
JUJ_4347	0	0	0	0	0	0	0	0
JUJ_19949	0	0	0	0	0	0	0	0
JUJ_1928	0	0	0	0	0	0	0	0
JUJ_18074	0	0	0	0	0	0	0	0
JUJ_19576	0	0	0	0	0	0	0	0
JUJ_7590	0	0	0	0	0	0	0	0
JUJ_11761	0	0	4	31	0	0	0	0
JUJ_2506	0	0	0	0	0	0	0	0
JUJ_4366	0	0	0	15	0	0	0	0
JUJ_4381	0	0	0	0	0	0	1	0
JUJ_18858	0	0	0	0	0	0	0	0
JUJ_2548	0	29	0	0	5	0	0	0
JUJ_20847	0	0	1	0	65	0	0	0
JUJ_1787	0	0	0	0	0	17	0	0
JUJ_1837	0	0	0	0	0	0	0	0
JUJ_7027	0	0	0	0	0	0	0	0
JUJ_12819	0	0	7	20	0	0	0	0
JUJ_9803	0	0	0	0	0	0	0	0
JUJ_4341	0	0	0	0	0	0	0	0
JUJ_12536	0	0	2	0	0	0	21	0
JUJ_19522	0	0	0	0	0	0	0	0
JUJ_21227	0	0	1	0	0	0	0	0
JUJ_12805	0	2	0	1	0	0	0	0
JUJ_7996	0	0	0	0	0	0	0	0
JUJ_21215	0	0	0	0	0	0	0	0
JUJ_17890	0	35	2	46	0	0	0	4
JUJ_18125	0	0	0	0	0	0	0	0
JUJ_11675	0	0	0	0	0	0	0	0
JUJ_9912	0	0	2	41	0	0	0	0
JUJ_3340	0	1	13	0	0	0	0	4
JUJ_12046	0	19	21	0	4	1	0	0
JUJ_1976	0	0	0	0	0	0	0	0
JUJ_17218	0	0	0	0	0	0	0	0
JUJ_12028	0	0	2	0	0	2	0	3
JUJ_16560	0	0	2	0	0	0	0	0
