
already sample present  N09391SN00 /Users/sariyasanjeev/bin/merge_otu_table/mini_april.txt
already sample present  L08239SN00 /Users/sariyasanjeev/bin/merge_otu_table/mini_april.txt
already sample present  L87107IM00 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  N08354M600 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  L08239SN00 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  M04248CT00 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  N18747SN02 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  N15954SN00 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  L19198M600 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  L13716Y100 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
row count  1004  column count  20
OTUid	N04231CT00	N14551M600	N06891Y100	M19165M600	N06299CT00	L17774SN00	N09846SN00	N09391SN00	L87107IM00	N08354M600	L08239SN00	M04248CT00	N18747SN02	N15954SN00	L19198M600	L13716Y100	NEC3	NEC1	N19035SN00	M07845SN00	
JUJ_14197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	
JUJ_26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	327.0	431.0	2214.0	127.0	66.0	315.0	142.0	31.0	0.0	0.0	0.0	0.0	
JUJ_4461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	7.0	42.0	15.0	6.0	6.0	11914.0	22.0	0.0	0.0	0.0	0.0	
JUJ_15039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	805.0	124.0	1277.0	4.0	83.0	18.0	31.0	0.0	0.0	0.0	0.0	
JUJ_11855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	250.0	25.0	1455.0	146.0	33.0	1291.0	0.0	207.0	0.0	0.0	0.0	0.0	
JUJ_14138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
JUJ_69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	24414.0	1.0	0.0	0.0	0.0	0.0	
JUJ_5409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	627.0	17752.0	1265.0	28.0	13.0	36836.0	119.0	0.0	0.0	0.0	0.0	
JUJ_372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	459.0	4.0	110.0	159.0	233.0	10.0	112.0	0.0	0.0	0.0	0.0	
JUJ_5727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.0	303.0	996.0	2.0	10.0	11788.0	5.0	0.0	0.0	0.0	0.0	
JUJ_18767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2.0	2.0	0.0	182.0	0.0	0.0	0.0	0.0	0.0	
JUJ_10720	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	3114.0	20.0	4.0	3.0	42055.0	40.0	0.0	0.0	0.0	0.0	
JUJ_18013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	11.0	26962.0	124.0	1.0	1.0	2.0	31.0	0.0	0.0	0.0	0.0	
JUJ_122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	608.0	13.0	15.0	16.0	12.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	
JUJ_15534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	154.0	2.0	1.0	0.0	9432.0	3.0	0.0	0.0	0.0	0.0	
JUJ_5725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	18.0	5.0	15.0	8.0	83.0	0.0	0.0	0.0	0.0	
JUJ_134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	663.0	340.0	128.0	168.0	99.0	75.0	108.0	0.0	0.0	0.0	0.0	
JUJ_21183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	619.0	16298.0	1134.0	1334.0	13.0	322.0	5633.0	0.0	0.0	0.0	0.0	
JUJ_5722	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
JUJ_18218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	20.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
JUJ_18578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	773.0	2.0	1.0	2.0	3.0	3.0	0.0	0.0	0.0	0.0	
JUJ_12235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	921.0	382.0	0.0	863.0	38.0	2.0	33.0	0.0	0.0	0.0	0.0	
JUJ_22022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	5.0	21543.0	44.0	3.0	8.0	5.0	100.0	0.0	0.0	0.0	0.0	
JUJ_11968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	11922.0	5320.0	13227.0	5341.0	26.0	31.0	5228.0	0.0	0.0	0.0	0.0	
JUJ_5470	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	
JUJ_13762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	829.0	5104.0	22.0	2.0	0.0	12665.0	5.0	0.0	0.0	0.0	0.0	
JUJ_13757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	9.0	114.0	62.0	62.0	0.0	4.0	15.0	0.0	0.0	0.0	0.0	
JUJ_12020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
JUJ_13793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	97.0	1.0	0.0	0.0	1.0	10.0	0.0	0.0	0.0	0.0	
JUJ_5914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	133.0	0.0	26.0	2.0	2.0	0.0	0.0	0.0	0.0	
JUJ_5402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	347.0	7.0	57.0	28.0	4.0	90.0	0.0	0.0	0.0	0.0	
JUJ_23472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	121.0	3048.0	2708.0	501.0	6.0	6.0	107.0	0.0	0.0	0.0	0.0	
JUJ_264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	486.0	6667.0	1176.0	5132.0	1180.0	1200.0	71.0	234.0	0.0	0.0	0.0	0.0	
