	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
	Firmicutes	Bacteroidetes	Firmicutes	Firmicutes	Bacteroidetes	Actinobacteria	Bacteroidetes	Bacteroidetes	Bacteroidetes	Bacteroidetes	Firmicutes	Firmicutes	Bacteroidetes	Firmicutes	Actinobacteria	Firmicutes
	Clostridia	Bacteroidia	Clostridia	Clostridia	Bacteroidia	Actinobacteria	Bacteroidia	Bacteroidia	Bacteroidia	Bacteroidia	Negativicutes	Clostridia	Bacteroidia	Clostridia	Actinobacteria	Clostridia
	Clostridiales	Bacteroidales	Clostridiales	Clostridiales	Bacteroidales	Actinomycetales	Bacteroidales	Bacteroidales	Bacteroidales	Bacteroidales	Selenomonadales	Clostridiales	Bacteroidales	Clostridiales	Actinomycetales	Clostridiales
	Peptoniphilaceae<0.8	Prevotellaceae	Peptoniphilaceae	Clostridiales_Incertae_Sedis_XI	Porphyromonadaceae	Corynebacteriaceae	Porphyromonadaceae	Prevotellaceae	Prevotellaceae	Prevotellaceae	Veillonellaceae	Peptostreptococcaceae	Prevotellaceae	Clostridiales_Incertae_Sedis_XI	Corynebacteriaceae	Clostridiales_Incertae_Sedis_XI
		Prevotella	Peptoniphilus	Finegoldia	Porphyromonas	Corynebacterium	Porphyromonas	Prevotella	Prevotella	Prevotella	Dialister	Peptostreptococcus	Prevotella	Anaerococcus	Corynebacterium	Ezakiella
		Prevotella_timonensis_T	Peptoniphilus_gorbachii_T<0.8	Finegoldia_magna_T	Porphyromonas_bennonis_T<0.8	Corynebacterium_accolens_T<0.8	Porphyromonas_sp_sp2-iso-ab16x2<0.8	S000414458_Prevotella	Prevotella_disiens_T	S000414448_Prevotella	Dialister_propionicifaciens_T	Peptostreptococcus_anaerobius_T	S000414459_Prevotella	Anaerococcus_murdochii_T	Corynebacterium_glucuronolyticum_T<0.8	Ezakiella_peruensis_T
L16567SN00	31436	8591	4726	2496	230	11	710	2970	3653	12641	2306	490	1348	1535	1701	6860
L08483Y100	98	25	233	319	8	678	2	23	2	4	3	43	7	321	4	48
N20114SN00	853	36	5190	4608	1031	2500	20	9	6	19	14	2	103	2110	4058	146
L81115-IM00	1041	1622	58	15	2	1	11	5	19839	1	114	10549	87	27	2	2
N01189M600	17928	528	1268	621	5549	11	2161	99	16	3322	261	2	492	520	1045	860
N84497-PR00	1170	4680	1840	4158	600	4	971	3245	3	803	1074	764	913	2366	429	1484
N19069SN00	8178	6043	1433	374	555	4	3862	338	12371	306	3612	6539	1072	787	0	2038
L07810SN01	41	621	3658	3721	51	4	192	9	5481	15917	6112	6	18868	437	61	10
N03498M600	457	11	16789	13363	22196	86	6	3	4	2	4	3	832	374	17066	2
M05730M600	2255	546	266	307	195	4	436	1125	1158	8	346	1493	17	309	10	18
M69893-PR00	1153	1469	105	134	10	22	98	20768	1340	925	1442	213	93	112	0	5
M20600Y100	4422	8207	2953	4739	1136	28	364	985	60	293	784	50	2633	772	36	2676
N09587SN00	12580	1952	2273	2195	2334	3	2832	3780	910	182	1756	2940	1490	134	62	38
N12056SN00	2933	887	9330	4508	1596	65	23	25	11	442	113	11	3274	4401	6961	56
N13213M600	10436	12962	2430	2795	311	1	5118	4322	390	18	1701	1074	3536	1022	3	569
M20244SN00	187	1423	2391	3583	90	134	99	4907	1643	37	1844	7177	100	515	1515	65
M14673SN00	67	1046	21	6	1162	2	417	5	175	3376	74	0	555	22	4	9
L09200Y100	21553	8032	2874	395	487	1	4640	73	63	7824	1769	419	3111	726	0	1785
M73804-PR00	4491	15104	3464	6302	826	8	707	1773	4	4229	2493	210	313	2384	1270	16
L06962CT00	14444	1292	1079	10	315	0	9810	10	3	0	2733	6	988	539	2	19
N03498Y100	1023	33	4167	2173	7070	6	77	4	3	8	13	7	1856	1067	8196	14
M00531CT00	28	18	25	60	3	3	5	50	7	57	6	59	1	13	6	11
L04409Y100	6717	1146	6395	9407	13449	1629	352	28	12	22	103	8	9337	1261	5582	9
N85573-PR00	37	183	2253	20308	2	35	5	18609	41	82	184	3127	7	178	214	6
L21206M600	6031	11027	1901	1336	163	2	1365	10	1175	6821	2572	1538	3475	878	1	3014
N19069M600	22726	1735	3286	4233	208	2	5452	21	30	5	1284	6536	813	1612	2	2198
M11987Y100	26	17	2099	3258	6	37	11	4	4	12	8	12	4	142	11	4
L70280-PR00	1008	4027	5179	7278	677	65	83	0	618	21	201	211	437	796	247	680
M74192-IM00	96	1257	7134	13957	53	13	5	2532	206	2	558	2197	68	1908	88	2
M02109M600	174	15	6554	8592	2210	2396	9	2	4	2	2	0	6	299	7	2
M73804-IM00	2554	8271	1783	3529	558	9	535	1114	1	2644	1432	115	193	1345	657	10
L74183-IM00	1165	5132	1268	1230	9945	2	6532	893	5	1	342	2101	2321	693	481	6193
N09391M600	2235	4344	1287	35	3	1	969	2	4	7	1574	1	899	578	5	105
L69842-IM00	14728	7901	3174	2437	788	3	616	1	957	362	634	18	729	2172	57	1441
N02299CT01	2329	9009	235	537	672	1	8374	3	4	11389	15410	2	11485	257	0	15475
M01497M600	8825	32745	4469	2170	2091	7	7796	10	0	0	4603	108	856	3334	3649	399
L35869-IM00	1435	1516	145	107	26	0	89	8716	1465	6	169	755	18	211	3	9
N91291-PR00	7011	17476	3423	7999	3378	9	1879	97	147	1142	2435	125	1150	2553	72	1409
M82187-IM00	224	2127	3632	18154	44	30	13	768	11	427	345	1683	571	2032	1094	14
L01967CT00	13058	6217	6746	6438	1639	17	2087	2477	9280	2960	1620	1894	2601	1591	99	1091
