	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
	Firmicutes	Bacteroidetes	Firmicutes	Firmicutes	Bacteroidetes	Actinobacteria	Bacteroidetes	Bacteroidetes	Bacteroidetes	Bacteroidetes	Firmicutes	Firmicutes	Bacteroidetes	Firmicutes	Actinobacteria	Firmicutes
	Clostridia	Bacteroidia	Clostridia	Clostridia	Bacteroidia	Actinobacteria	Bacteroidia	Bacteroidia	Bacteroidia	Bacteroidia	Negativicutes	Clostridia	Bacteroidia	Clostridia	Actinobacteria	Clostridia
	Clostridiales	Bacteroidales	Clostridiales	Clostridiales	Bacteroidales	Actinomycetales	Bacteroidales	Bacteroidales	Bacteroidales	Bacteroidales	Selenomonadales	Clostridiales	Bacteroidales	Clostridiales	Actinomycetales	Clostridiales
	Peptoniphilaceae<0.8	Prevotellaceae	Peptoniphilaceae	Clostridiales_Incertae_Sedis_XI	Porphyromonadaceae	Corynebacteriaceae	Porphyromonadaceae	Prevotellaceae	Prevotellaceae	Prevotellaceae	Veillonellaceae	Peptostreptococcaceae	Prevotellaceae	Clostridiales_Incertae_Sedis_XI	Corynebacteriaceae	Clostridiales_Incertae_Sedis_XI
		Prevotella	Peptoniphilus	Finegoldia	Porphyromonas	Corynebacterium	Porphyromonas	Prevotella	Prevotella	Prevotella	Dialister	Peptostreptococcus	Prevotella	Anaerococcus	Corynebacterium	Ezakiella
		Prevotella_timonensis_T	Peptoniphilus_gorbachii_T<0.8	Finegoldia_magna_T	Porphyromonas_bennonis_T<0.8	Corynebacterium_accolens_T<0.8	Porphyromonas_sp_sp2-iso-ab16x2<0.8	S000414458_Prevotella	Prevotella_disiens_T	S000414448_Prevotella	Dialister_propionicifaciens_T	Peptostreptococcus_anaerobius_T	S000414459_Prevotella	Anaerococcus_murdochii_T	Corynebacterium_glucuronolyticum_T<0.8	Ezakiella_peruensis_T
N13417Y100	1611	1119	2122	1605	763	18	480	29	140	325	159	32	2928	920	10002	903
N20041SN00	5760	1960	1302	5	79	0	4240	11	1	1	1537	2	1726	434	2	2216
N36523-IM00	1766	548	1052	1468	2130	6	222	20	43	1307	584	122	166	469	4	762
M87849-IM00	4133	1869	1225	1253	263	8	934	215	89	1147	893	76	1893	82	499	56
M11775SN00	212	5735	457	8	484	1	239	13	2	4	1	3	37	31	6	264
M19741M600	26	18	3917	1241	4888	270	31	12	2	15	13	12	6	49	106	28
M04379CT00	45	2017	2651	1235	199	5	1150	22	122	64	1018	112	779	2407	3178	13
N03090CT01	4923	807	421	217	100	6	1481	180	2304	102	1067	751	52	212	47	456
M12411Y100	182	1254	4210	4238	306	344	53	684	284	6617	48	243	1825	700	1476	4
N36159-PR00	8371	4282	1105	1527	3647	5	2398	15	14	1223	1483	27	2635	739	185	1521
N14983SN00	21	21	502	738	5	34	6	3	4	16	5	5	3	10	2387	6
PEC3	16	5	6	10	5	0	15	4	10	3	4	9	5	2	2	2
N01367CT00	1023	360	3284	7229	366	3	283	16635	10	12	1494	3144	15	118	28	18
L07975SN00	82	11	1494	1618	564	85	5	2	8	9	15	1	13	44	6728	4
L05577CT00	9217	185	171	14	294	5	3583	237	7	3	263	45	1353	3	8	10
M10592M600	57	368	764	466	13	64	18	25	0	14	26	363	16	391	33	49
N84031-PR00	5989	449	2595	3502	821	28	218	4	2	30	77	3	169	2668	556	1007
N05278CT00	13227	25	2292	1054	15264	2	1565	14	7	6	10	3	1646	960	3553	3
M11987SN00	26	1270	26119	12163	38	208	6	9	5	13	394	27881	6954	223	12	4
L75918-PR00	2196	2506	809	69	1080	0	1279	0	89	742	886	1	445	519	81	100
M18940SN00	9183	1223	171	111	775	0	4368	919	1196	1069	2698	2639	198	364	118	583
L17059Y100	15483	5924	1131	84	1317	23	1881	9	16	23	1809	9	2608	310	4	395
N20790SN00	266	7514	1178	214	162	6	1602	23	21	164	328	40	450	47	10	40
N07927SN00	8	26	14730	8229	8134	58	3	2	0	3	5	1	12051	1126	2410	3
M83378-PR00	13186	5650	2564	2611	1109	3	1496	0	4274	8	2285	494	1678	1114	506	3055
M91313-PR00	3988	685	2156	4038	221	37	185	1511	357	6508	3595	1904	102	1261	2	88
PEC4	25	17	13	9	5	0	7	4	3	5	8	2	3	4	3	6
L20667SN00	1809	1907	5135	3433	625	8	191	21	121	35	529	1905	793	868	33	2768
N13417SN00	413	430	2514	1467	750	60	23	9	12	4	10	10	4194	467	8800	7
L05755CT00	11836	28896	2971	2730	2669	3	2559	16	8414	2873	4762	649	1854	1549	7	4369
L34979-PR00	20	476	422	2976	22	141	6	4	3	14	111	5	190	2081	2917	24
L74230-PR00	8835	6245	369	115	25	0	3369	142	13814	2084	2796	158	398	590	0	1494
M19725SN00	54	25	207	577	3	459	19	91	5	7	13	38	10	43	218	13
M08418SN00	6011	1471	1536	720	551	9	1159	129	307	2889	1137	391	255	441	6	1433
M09586SN00	6705	773	51	49	6	3	1553	7	18	10	1148	1877	440	12	3	8
N15548Y100	7563	2844	1070	392	416	25	1420	25	222	407	791	4	2344	136	23	1238
N18674Y100	3650	6994	244	28	164	4	1371	224	4417	447	2900	649	593	451	4	595
N07252SN00	6851	5528	437	114	173	1	4168	323	153	2648	697	80	1806	66	7	1578
N75936-PR00	6026	15	862	1291	2	24	25	366	5	432	845	32	964	534	1508	435
L07496SN00	615	344	48	42	33	0	289	319	1248	28	107	1419	1273	41	13	211
M54227-PR00	4560	4307	1813	707	301	2	485	62	46	1686	715	226	670	602	90	336
N01105CT00	96	42	252	425	61	2200	20	14	5	6	11	13	16	334	186	25
N03498CT00	29053	2119	3167	1655	11278	4	1994	10	11	483	248	8	2155	768	2353	1667
L19499SN00	2609	4190	346	2501	174	15	666	18036	11802	1210	3493	1947	85	121	9	2
L21272M600	3505	1793	2506	5049	263	12	396	294	58	182	613	887	1755	1405	1343	549
L08483SN00	3709	1857	166	95	122	1	2505	3402	990	417	2025	1268	1722	270	3	528
N69836-IM00	38	28	133	2750	15	1	8	5404	84	13	128	380	8	8	10	11
N09862SN00	14643	325	1744	16	497	0	316	6	14	6	525	7	435	60	1	8
L90244-IM00	3959	2611	210	324	187	1	1389	6834	4	5	6366	1897	52	2079	92	57
N16137SN00	3850	5583	1399	86	1115	4	3257	4	5	5270	1651	9	6081	276	1032	10
M73820-PR00	11378	8159	1828	339	399	1	2583	5	1	7237	2034	100	447	440	21	1835
M14843Y100	15	6	22	74	10	3067	3	2	1	1	4	1	5	7	77	6
N08354SN00	677	168	8569	6949	430	252	10	2	3	23	67	82	122	3618	4267	281
L09519SN01	181	7089	18	39	77	4	778	22	776	14	1137	50	2333	10	3	30
N18179SN00	6559	60	6893	7079	49402	156	3466	0	1	11	30	1	8079	389	3242	596
PEC2	9	14	9	11	6	0	2	6	11	1	7	3	2	4	1	4
L13295SN01	102	2915	4683	1603	64	1	386	11466	5238	27	6032	8789	101	293	18	13
M14819M600	10385	8573	1859	307	398	2	1597	3	23	2131	1157	145	3239	433	101	860
L04970CT00	16183	5423	4783	1795	1130	0	1624	54	2687	3847	4295	5	890	431	76	1585
M15432SN00	12047	423	1279	599	2244	2	1978	186	4	174	39	4	1295	492	46	404
L15643M600	15792	9687	1198	262	3569	3	2861	901	10559	8	3558	396	2046	97	116	469
M14657SN00	4283	2460	1103	621	535	0	1613	638	1147	4304	1829	957	1452	144	3	683
M05594CT01	13430	14533	2639	200	2690	0	7442	0	221	2	6176	22	5310	600	2	707
N69763-PR00	82	81	168	816	27	6	14	49	5	235	23	4	75	84	614	3
M69893-IM00	650	1025	73	57	7	16	65	14204	955	662	912	133	79	71	0	1
L09137SN00	4143	1665	176	125	416	3	14171	3818	8882	117	2714	6784	519	87	163	267
L04409CT00	52	18	302	3379	25	538	9	11	7	23	13	8	38	82	212	11
M87360-PR00	220	59	270	359	49	29	18	156	101	75	72	457	1	95	14	53
L81115-PR00	166	406	19	13	4	0	6	5	4225	4	30	2181	18	11	2	2
L19512SN00	131	114	2494	5789	11	44	16	649	88	23	73	2505	39	278	13	57
L07925M600	20	99	321	1348	13	57	8	2752	14	2	21	14	68	65	132	6
M07023Y100	35	16	15	15	27	613	11	14	2	8	8	3	4	5	9	9
M74192-PR00	53	1035	6476	15163	39	5	0	1942	101	4	454	1839	51	1788	66	2
L01802Y100	4139	1964	1215	515	1403	1	840	2878	3084	7054	5834	5679	850	518	14	966
M82179-IM00	3506	4030	1217	30	128	9	204	776	1718	354	380	500	133	228	7	824
L75900-PR00	26	9	554	2023	19	50	4	4	3	0	4	6	1	6	19	2
N14690SN00	3964	52	1111	189	1157	9	1850	17	5	162	727	33	338	141	76	5943
L15693SN00	47	30	26	123	3	23	9	16	13	13	18	22	4	4	11	12
L13570SN00	757	14	2439	1498	539	2059	9	8	3	6	11	5	6	459	838	955
L09828SN01	53	47	4571	19248	18	1920	10	20276	3	17	5641	23	7	55	22	23
L09763SN00	3099	1029	333	29	12	3	525	39	70	17	878	162	113	77	8	163
N07846M600	49	75	2399	4793	3757	41	11	10	5	12	10	10	2133	223	460	41
M04866CT00	75	270	3596	18348	20	46	16	3077	1220	30	523	1853	14	2081	10	28
L11732SN00	362	114	111	53	228	6	122	1607	5384	329	134	1531	3	197	20	100
N15548SN00	947	1360	43	4	9	2	156	8	6	6	9	2	1043	9	1	46
L12096M600	1109	295	5696	3034	100	62	11	3	1	4	4	3	57	1385	608	117
M06816CT00	46	6618	6513	5137	92	4	411	8	7	6	1102	1	544	828	7	2570
M75511-IM00	2256	2809	5360	12743	833	6	52	1520	12	6	760	458	1150	492	78	4
N19467SN01	3352	2375	284	598	22	1	135	14	4327	1	191	949	2724	401	0	226
M03803CT00	88	106	106	199	21	11	18	32	9	15	34	25	10	114537	15	49
M17343SN00	30	5545	1823	894	503	1	1923	2	0	9	5	6	5790	746	0	10063
M07162SN00	31	15	234	750	9	287	7	8	7	16	12	12	6	12	597	3
L19122Y100	13838	1587	3344	1168	165	4	719	618	191	1809	2028	1675	1352	379	1	2497
N19352SN00	20	59	272	631	2	0	3	91	5	1	23	70	0	183	27	13
M40313-PR00	2734	1234	3528	6266	121	1	143	6123	4425	500	2031	2853	177	758	1	79
L21060M600	46	11	36	34	10	317	7	6	4	9	4	11	5	14	29	1
L80479-PR00	15	352	1292	1645	6	61	4	6955	300	170	2353	1622	114	280	5	4
N20091SN00	11116	3670	2486	2528	690	179	2561	6508	6490	2	4329	7852	221	555	4	393
L90804-IM00	2467	5617	2164	350	138	0	2330	3	7	5616	1983	30	1913	517	2	641
M13000SN00	8884	2043	328	119	122	2	2558	162	1500	2058	1819	1207	308	156	2	50
M75511-PR00	2659	3272	5634	13548	1092	7	50	1590	12	9	844	495	1402	621	88	1
L34979-IM00	25	1075	694	4068	55	292	6	2	0	25	217	2	431	4545	4823	38
M06117CT01	1471	162	344	1250	979	3	97	2	837	3425	2881	110	335	34	1461	3
L11504SN00	139	21	4545	3775	12747	111	21	7	6	10	5	4	132	107	6574	6
L17059SN01	93	4811	2918	7549	2	68	780	2131	16106	12	2690	4	743	2002	2	84
L18931M600	3497	1998	817	68	853	1	2088	13	274	261	733	20	851	345	3	3149
N15637Y100	246	119	843	4896	16	108	10	1231	3	80	61	1299	25	1142	510	6
N18551SN00	8317	1152	812	1307	1040	0	1838	0	101	5604	544	3	733	69	213	173
L06572CT00	57	6	6736	5744	5807	93	7	10	1	7	12	5	147	116	4433	48
L02629CT00	5449	5925	3967	462	323	1	431	10876	766	6	3770	696	305	360	13	4
M08963SN01	20	59	156	17711	4	202	8	14	1	11	7	3	7	12	1	7
L18410SN00	11614	1826	606	380	1595	4	3208	105	682	461	1076	36	1716	287	9	3300
L05690CT00	13976	13876	3077	1020	935	15	1992	1148	853	9750	5755	1995	1532	467	30	4205
L09747M600	15904	3642	2319	506	174	17	449	52	6	9	2313	30	885	1510	26	236
L14444SN00	55	14460	9706	22311	486	2	1183	5131	80	2223	2357	7692	9785	262	7185	23
M87221-PR00	5603	3445	1667	331	3986	1	627	482	86	7169	2024	405	304	105	534	5549
N01406CT00	124	50	83	185	25	127	23	23	20	22	24	21	15	29	209	24
M80933-IM00	79	74	74	366	49	126	15	645	42	30	24	16	9	64	15	15
L15017SN00	5589	2020	1872	1193	341	3	928	372	328	362	1246	173	862	67	9	1456
N80900-IM00	7807	3407	431	203	2566	1	1041	1	9	9	564	5	375	178	95	675
L58577-PR00	302	1119	746	538	159	223	21	1773	16	584	5307	511	239	80	7	68
N09511Y100	66	9	14	40	14	1530	12	1	10	7	20	11	10	14	1	11
N01309CT00	213	3855	165	32	6	1	1500	14	21	11	12	18	2099	10	7	44
N14551SN00	98	23	2844	7949	167	1105	9	15	5	26	17	14	772	532	5938	25
N02053CT00	21	16	2713	139	5	74	26	49756	2	29329	2762	15941	8	27	1356	7
N06304CT00	6932	2514	176	23	87	0	3237	30	1159	3	2265	96	1874	48	1	1653
M13220SN01	21333	11365	331	7	0	0	10965	8	4	6	2469	3	1441	632	1	17
L09828Y100	7	8	348	389	4	703	4	1	1	1	0	1	5	18	327	6
M02159CT00	1003	967	547	76	17	8	416	9250	593	16	1171	2017	202	75	22	40
N15001SN00	3485	7602	1407	26	168	0	1591	1	1	1812	547	5	3184	192	2	695
M14102SN00	4929	3999	1840	3387	366	7	553	58	14	6197	2044	3904	144	453	5	638
M69788-PR00	10655	6086	3744	5097	2153	20	712	618	570	3963	1619	2	2441	5110	447	779
N20766SN00	4042	8177	2976	15005	319	12	240	65495	2670	76	5840	3635	77	746	1488	3
N16941PR00	5925	1191	5216	8467	175	43	372	42	7853	1	3336	1861	522	948	0	33
L06297M600	5801	11073	269	11	36	3	4664	4	948	2	4187	4	2220	315	2	32
N03927Y100	319	1973	5302	10739	6	8	35	5242	807	13	1510	14195	32	711	0	34
L69800-PR00	3172	10	10802	8218	1326	14	1499	6	6	1	439	34	1853	1499	2108	3167
L13669SN00	39	21	2748	4435	2913	1620	2	5	6	5	5	14	106	700	9657	14
N13221SN00	4931	2331	634	222	314	1	594	12	11	1935	1113	15	596	96	2	282
L07713Y100	56	9	33	198	24	1084	10	13	4	1	2	3	1	6	27	3
M08379SN00	28	12	173	606	8	259	9	7	3	10	2	3	7	14	142	3
M84129-IM00	810	298	502	796	418	113	16	23	6	43	51	5	104	713	813	37
M09586M600	8673	2807	291	119	143	3	766	739	2	4	3458	743	109	28	0	4
M07162Y100	18	88	17	26	11	108	4	49	10	10	20	1	7	15	4	2
L03137M600	5340	963	920	118	48	0	908	22	344	7521	2237	24	282	34	8	490
M81093-PR00	13	1248	2070	6523	41	16	112	18631	346	1	1716	240	29	186	525	14
L74167-IM00	1317	1759	742	90	64	2	904	202	192	611	679	430	1023	345	1	224
L82160-PR00	10884	1461	674	41	335	0	2763	34	397	0	2534	67	789	767	1	292
N13213SN00	2810	583	368	76	84	9	590	948	197	13	413	189	412	187	15	148
M69788-IM00	8200	5844	2760	4064	737	8	604	587	546	3863	1515	2	2289	4388	0	651
L06297CT00	6640	9961	918	15	241	4	4988	3	265	4	3407	2	4508	444	2	1882
M57743-PR00	4311	7566	2426	3870	1160	11	1518	6448	8894	59	1061	2657	591	428	214	950
L11732M600	9485	4772	1894	1165	468	6	2815	15	401	4104	1898	1364	1843	238	62	958
M81093-IM00	14	207	268	864	8	1	29	3019	38	3	248	39	5	26	100	5
M09405SN00	36	13	169	3599	90	1533	19	4	1	7	7	15	40	43	4362	4
L69606-PR00	10	88	672	5726	214	5	23	16	3	3	109	88	282	52	520	5
N00697Y100	15	10	454	4757	0	96	4	105	1	2	19	5132	3	49	50	4
N13938SN00	691	1724	3104	1864	175	7	3318	2	2	2	656	6	387	1668	0	9923
L74183-PR00	1196	5880	1072	1158	12025	4	8022	957	6	1	328	2386	3030	654	458	7324
M05536CT01	4094	455	2799	8888	581	9	191	5391	1943	3989	1538	7786	59	1105	2	283
N09456SN00	14591	7034	6876	7568	26	9	749	13750	7	24437	2603	4776	551	1687	1507	1388
M81043-IM00	65	38	28	266	14	52	9	16	11	25	18	11	6	9	5	13
L21060SN00	3936	3706	3435	1813	1364	31	1839	676	154	5043	1862	1465	1164	650	5	3179
L01721M600	125	67	632	2171	19	0	20	4326	138	10	214	19	19	92	7	2
M02400Y100	5654	8157	719	257	209	2	310	2833	457	1727	1942	430	893	60	53	774
N20423SN00	24241	20465	1532	411	1032	1	1941	85	13373	5	3702	1	1253	1073	1128	2169
L20667Y100	26	20	6000	7150	1107	163	11	27	2	4	5	38	674	302	969	9
L02433M600	61	81	84	926	14	1	24	57	12	9	15	40	14	218	8	10
L12999SN00	229	26	5712	7469	2217	468	15	173	4	1	11	16	1800	210	7571	13
L14305M600	6267	2584	45	24	25	1	360	3	3	11	176	2	429	17	3	894
L04271CT00	3595	11114	3564	833	346	2	731	15	4	2	104	493	2165	257	1461	654
L20031SN00	5707	3080	3434	748	30	2	1323	6	6	4560	940	1182	2506	812	454	32
N90369-PR00	2311	4327	3524	12695	528	21	193	168	271	1513	802	269	849	2030	105	312
L15017M600	5565	3131	1046	119	140	17	1069	1141	3189	55	988	2078	953	327	193	773
M21508M600	77	28	46	79	10	133	14	11	10	12	7	25	8	12	8	13
L03137CT00	3556	1988	2753	5062	3051	9	3353	19	13	9	2122	1019	1935	55	9	12
N80900-PR00	4222	2304	288	138	1465	0	716	5	1	3	540	3	222	129	76	581
M00434Y100	55	262	124	4248	14	92	20	2197	10	17	16	12	19	61	1984	47
M18186M600	8	7	13	16	11	1037	6	4	3	3	7	3	1	5	2	8
N69894-IM00	573	37	1088	921	711	196	24	7	0	12	17	2	45	689	232	232
L18177SN00	2816	133	1018	403	971	1	100	140	187	533	154	199	67	331	528	591
L81000-IM00	46	425	5175	8000	355	21	16	433	9	1	12	113	93	404	565	40
L04970Y100	1844	714	2160	4675	531	69	144	17	6	305	804	663	111	236	16	670
N17409SN01	4828	7	10346	7721	686	142	5	14	0	2	3	4	46	3197	384	113
M90855-PR00	344	3436	2796	4461	68	18	115	210	25	217	296	50	219	1834	1720	61
L15025M600	25	8	11	16	13	410	0	10	6	7	4	6	9	3	4	3
L06603M600	30	280	13	22	230	0	7	10	3	681	197	115	5	4	3	0
M54227-IM00	12636	12326	4221	1877	784	6	1460	199	150	4875	1663	749	1771	1648	205	756
N05464CT00	2285	14200	2961	20	2024	6	278	16	11	5	224	15	274	76	11	82
L09763Y100	8356	3161	924	31	108	1	412	12	14	54	1025	16	3890	55	11	268
N84879-IM00	172	1524	344	918	112	2	159	585	4	140	193	183	149	420	89	212
N17742SN00	255	1849	48	10	3	1	345	2	3	3	1181	4	2435	16	4	34
N30998-IM00	13	77	738	2760	3	27	0	1000	9	9	31	2410	1	223	1	1
L08920SN01	8819	5098	1605	1497	2413	1	6036	2163	262	23	2635	382	3216	239	200	1381
L01967Y100	365	245	1309	1120	371	33	152	12	8	661	23	13	536	166	196	305
M12241SN00	826	1869	915	1842	5	9	335	93	6244	240	1346	1617	151	648	2	241
L18397SN00	9328	25903	5161	211	1229	0	17584	3	7	8	5310	2686	1513	256	174	12370
M21045SN00	1069	743	6816	10277	114	20	44	14449	23	185	3346	3684	98	332	166	10
L21345SN00	7522	5373	657	62	182	3	1332	1247	179	17	1222	112	1068	100	3	257
L14305SN01	10695	7365	396	75	103	0	1446	6	3	4	437	2	572	230	4	269
L06679M600	117	38	72	839	18	14	24	160	33	34	36	65	17	1181	15	30
L01802CT00	1763	2692	3046	5016	502	16	522	1091	623	1984	750	138	806	477	22	74
N07977SN00	24	1425	2484	865	5	38	8	8	1	10	124	5	137	286	2864	2
M82137-IM00	5695	2066	5989	5731	18380	231	940	109	24	15	647	288	1504	826	671	280
L12999M600	132	304	757	1657	84	562	19	9	11	19	42	14	51	1427	548	51
N01406M600	31	21	3251	2254	135	275	4	4	5	6	12	6	7	84	10646	51
L03941Y100	694	366	823	1743	80	124	54	218	23	373	315	378	124	177	896	17
L21345M600	5655	5726	968	105	618	20	4287	43	53	206	2263	5	1320	254	2	955
M19165M600	441	45	62	15	7	0	31	30	169	16	85	285	27	18	1	89
M81823-IM00	8	7	12	42	4	22	4	2	2	3	2	4	3	3	88	7
M05099CT00	9463	1268	3784	2285	9910	19	314	10	5	10	215	6	1120	3223	2845	6711
N04778CT00	6259	1380	1104	86	347	1	829	44	1	2	7	4	991	367	0	3069
M32873-PR00	156	322	203	218	6	0	6	3313	18	452	452	818	21	1172	4	29
N01367M600	11151	5284	1867	410	226	2	2629	3	0	2	2363	3	1968	146	288	0
N57998-PR00	3665	4687	446	10	1840	1	991	165	2390	3	1498	30	498	134	1	525
L73811-IM00	10345	15511	1326	411	2363	1	1486	1	32	466	901	0	603	1521	208	1865
L04019M600	3529	5758	191	77	55	2	781	55	628	620	675	86	461	17	9	14
N10111SN00	670	6048	2751	4004	2706	9	781	21	1163	448	538	1240	2555	1341	4337	2395
L13716SN00	2372	6416	3729	6754	57	2	650	7855	1424	5331	1210	2580	546	651	1178	15
M69843-PR00	11	30	32	354	3	23	7	21	15	6	2	33	2	23	19	2
L10038SN00	6640	229	553	425	915	6	666	18	7	19	178	66	254	198	51	1705
M08133SN00	383	360	2149	3024	482	10	41	328	115	39	95	81	1032	513	4431	9
N14284SN00	6099	1924	951	1145	975	14	750	1025	273	1441	784	25	280	476	162	759
N84879-PR00	6288	22	2836	2132	10393	68	783	3	3	5	11	5	1999	630	1445	190
M54895-PR00	4631	3816	2373	5532	1689	4	850	711	775	2131	782	711	1127	1434	982	689
L03292CT00	3988	888	1892	620	324	5	148	7302	43	6	2708	2322	194	320	9	442
N36531-PR00	1546	3320	2941	1280	1823	7	792	2	2	735	1030	1	2207	1073	0	454
L08085SN00	205	14	4137	1828	35519	268	487	39	8	7	13	26	186	259	13546	301
L20714SN00	111	238	264	21	119	1	1712	1	1	2	355	2	131	405	4	1909
N12056Y100	170	63	1811	658	194	239	46	5	9	13	9	10	59	178	1004	816
M12071SN00	5322	305	178	100	60	0	938	5	342	3055	137	152	602	22	2	300
M52463-PR00	6	10	21	328	3	68	2	86	2	3	5	14	2	60	2	1
N06273Y100	3406	941	199	15	194	0	426	3	1	81	543	1	149	68	2	2
M91208-PR00	21	79	1114	5353	9	40	4	3720	1	85	39	2057	12	646	52	3
M12241Y100	21	10	70	139	8	33	5	6	2	3	4	143	4	4	3	4
N57998-IM00	3438	4512	327	18	1660	2	825	197	2327	9	1363	24	478	113	2	423
L73811-PR00	12584	19176	1678	609	2920	0	1702	1	57	526	1065	0	719	1980	252	2408
L80479-IM00	5	372	1556	1838	6	81	4	8355	372	137	2527	2120	134	305	6	2
L35209-PR00	7480	5497	1844	36	6080	1	4431	120	830	345	1738	98	436	1537	1	2017
M00997CT00	5133	4563	2399	1683	347	0	2002	234	52	14247	2084	3	2019	324	46	1730
L04213CT00	43	72	1334	6549	14	412	6	518	13	14	7	266	13	126	86	25
N17108Y100	76	184	484	1619	23	288	13	7284	121	6	14	240	31	271	58	25
M40313-IM00	1910	746	2517	5050	65	0	82	3633	2963	263	1406	1825	102	528	1	75
N17108SN00	186	825	2775	4462	114	0	13	1	2	3	99	21	484	201	11	18
M73820-IM00	12603	10708	1940	305	508	0	3810	5	3	9730	2539	102	532	492	34	2155
N74208-PR00	9404	10349	2525	1981	1357	2	2654	0	12	4701	1485	62	4682	175	85	1278
N09171SN00	11224	5788	1266	945	3549	15	1202	82	84	705	198	130	1932	1090	386	7260
M12877SN00	65	429	140	28	7	2	208	22	2	0	30	9	146	73	8	72
L04483CT00	1005	185	42	25	29	3	484	31	564	52	525	610	8	66	11	14
N19352Y100	2561	3062	2774	1705	106	11	113	14007	3442	3087	1131	4622	72	137	287	83
L20235SN00	24	7174	5054	795	8164	13	3990	10	3	1	3860	6	2526	331	2724	2874
N01383CT00	14524	715	998	259	1426	2	875	22	4313	665	1367	1685	183	106	17	353
L01373CT00	7663	2454	915	264	263	2	2660	296	8500	25	3146	1344	520	77	11	3477
N36531-IM00	1640	3545	3232	1375	2233	9	1014	8	5	985	1024	1	2745	1334	2	386
L35869-PR00	1396	1631	122	135	30	0	107	8753	1494	0	177	760	20	180	0	8
M91208-IM00	35	32	442	2122	10	17	5	1392	1	24	23	810	14	195	45	6
L09218SN01	49	3110	4199	6282	9	35	11	1844	3	411	6	232	131	91	10	17
M06971Y100	73	54	46	25	12	1583	14	20	14	14	13	12	27	85	9	26
M18186SN00	8906	352	963	887	4618	1	8045	15896	5	1295	3669	3	901	51	1	1540
M16013SN00	1857	981	4381	4361	60	29	147	11828	2028	2764	1803	5021	322	443	12	139
M06688CT00	15	36	235	324	3	18	6	4673	179	3	46	544	0	65	2	6
L75900-IM00	5	1	590	2493	13	57	1	1	1	3	2	0	0	9	24	1
L21531SN00	2096	208	139	97	107	2	647	11	50	1522	91	30	244	25	15	55
M82187-PR00	205	2830	4179	22463	65	20	17	876	34	588	427	1910	754	2585	1287	4
L10038M600	29	7	16	20	1	222	6	3	2	10	6	3	7	28	5	7
L10876SN01	36	8525	2983	2534	7651	18	12710	4	5	10	12	7	133	6	9	7
L89830-IM00	55	70	206	1085	4	24	2	3	23	16	9	146	8	212	1	27
M07853SN00	57	22	58	190	22	1	9	394	38	52	37	9	8	11	57	7
L70280-IM00	904	3406	4635	5397	557	71	61	7	534	21	194	185	353	605	183	626
L20170Y100	115	47	38	66	21	5300	28	20	14	18	20	17	51	8	4	37
M82179-PR00	4116	3592	1239	14	124	5	180	668	1496	313	353	471	89	259	0	1153
M91313-IM00	1421	191	867	1517	70	2	54	548	111	1966	1258	677	29	457	0	32
M12233SN01	456	62	3778	4620	2	569	11	0	9	1	26	42	316	521	0	90
M07382Y100	3107	2061	696	1099	36	0	1221	224	438	825	830	4708	326	138	18	507
M16518Y100	8795	2953	1074	577	1421	93	1502	51	109	3619	1506	86	514	443	191	19
N89832-PR00	1564	265	787	1808	114	15	139	373	17	283	239	98	85	282	16	322
L06572Y100	42	18	649	462	630	938	601	19	4	17	12	16	652	151	3456	200
L38123-PR00	1172	5171	2911	1810	57	11	83	8	12	2594	1697	708	1132	935	587	1614
M01811CT00	10	16	327	48	4	39	6	727	9	2	8	103	5	70	4	4
L18208SN00	4436	7041	4425	2965	4280	18	10572	29	130	6	1432	7	666	7152	163	2904
N01189CT00	470	279	683	1607	141	39	14	10	2	230	153	12	65	106	16	120
L06881CT00	1270	331	300	156	11	7	491	1086	51	11	244	189	135	255	1	244
N02710M600	8796	15646	2162	1769	359	0	4406	2	496	29892	9960	4203	1373	790	8	5465
L05577Y100	1318	2954	45	9	5	4	1509	600	7	2	537	1333	2267	154	5	3
N20172SN00	107	66	1292	2571	1463	47	73	42	44	31	43	61	1271	178	4314	136
N80497-PR00	17	18	542	2342	11	41	9	404	29	21	34	406	1	52	1	6
N03294CT00	3657	2577	532	183	252	0	1924	102	436	2996	765	830	299	133	18	72
N09294SN00	24	37	54	189	5	234	8	12	12	8	8	14	5	54	1123	24
N36159-IM00	7546	4286	1030	1321	4227	16	3105	31	11	1284	1356	26	2714	678	221	1032
M51395-PR00	114	15	218	1105	40	17	1	4	1	1	8	346	10	712	53	66
M57777-IM00	1358	7	1993	1657	6190	64	114	8	1	3	1	5	33	842	2356	267
N00914CT00	37	362	260	219	5	10	19	5	6	9	222	7	351	835	523	11
L88738-IM00	92	133	930	874	35	60	1	2	5	4	2	3	37	111	33	6
L21303M600	18	2209	210	128	6	352	18	6	5	14	7	48	116	38	1	3
L69842-PR00	13691	9542	2481	2489	754	5	531	11	1142	418	627	10	790	1864	31	1191
N20821M600	84	36	61	51	17	275	36	32	12	23	19	20	17	12	15	32
N20821SN00	2246	526	209	220	80	16	80	1249	234	28	262	490	82	17	9	86
M06785CT00	62	2436	1570	4441	19	3	11	10	1	10	153	29	25	616	401	22
